Plant Code,Plant Name,State,Latitude,Longitude,Energy Source,Nameplate Capacity (MW)
58972,Fort Huachuca Solar PV Project,AZ,31.555278,-110.35,SUN,4.1
58973,White River Solar 2,CA,35.874722,-119.046111,SUN,19.8
58974,Fairview Farms Solar,MA,42.459722,-72.610278,SUN,2.0
58975,Henrietta Solar Project,CA,36.218806,-119.805833,SUN,102.0
58977,Whitman,AK,55.328056,-131.530833,WAT,3.9
58979,Copenhagen Wind Farm,NY,43.913056,-75.698611,WND,79.9
58981,"Broken Bow Wind II, LLC",NE,41.323889,-99.323056,WND,73.1
58982,Allison Creek Hydro,AK,61.084444,-146.353333,WAT,6.5
58983,RE Camelot LLC,CA,35.026667,-118.185556,SUN,45.0
58984,"RE Adams East, LLC",CA,36.6175,-120.290833,SUN,19.0
58985,"RE Kansas Solar, LLC",CA,36.247778,-119.833889,SUN,20.0
58986,"RE Old River One, LLC",CA,35.223333,-119.088889,SUN,20.0
58990,"RE Columbia Two, LLC",CA,35.026667,-118.185556,SUN,15.0
58991,"RE Kent South, LLC",CA,36.226111,-119.905278,SUN,20.0
58992,Dept of Corrections NCCI Wind,MA,42.572222,-71.944722,WND,1.7
58994,Breckinridge Wind Project LLC,OK,36.476944,-97.685556,WND,98.8
58995,St. Olaf Wind Turbine,MN,44.462222,-93.192778,WND,1.6
58998,Goodwell Wind Project LLC,OK,36.541389,-101.565556,WND,200.0
58999,Little Elk Wind Project LLC,OK,35.194722,-98.907222,WND,74.0
59001,Parkland Landfill Solar,NJ,40.1275,-74.710833,SUN,7.8
59003,Two Dot Wind Farm,MT,46.449444,-110.087222,WND,9.7
59005,Mariah del Norte,TX,34.6675,-102.577778,WND,230.4
59008,Woodmere Solar Farm,CA,35.323056,-118.821389,SUN,15.0
59009,Hayworth Solar,CA,35.325278,-118.878611,SUN,27.0
59010,Macho Springs,NM,32.57,-107.48,SUN,55.0
59013,Scituate PV,MA,42.1775,-70.740556,SUN,2.5
59014,Bolton PV,MA,42.449722,-71.643056,SUN,4.9
59015,Stow PV,MA,42.436944,-71.506111,SUN,2.0
59017,Carol Jean Solar,NC,36.316111,-80.144444,SUN,4.0
59018,East Chicago,IN,41.632222,-87.469167,SUN,2.0
59019,Griffith,IN,41.521389,-87.436111,SUN,2.0
59020,Gila Bend Hybrid,AZ,32.940833,-112.881389,SUN,36.0
59021,Hoopeston Wind LLC,IL,40.399722,-87.799167,WND,98.0
59024,"Euclid Farm, Stamco N-54",OH,41.602222,-81.496944,WND,1.0
59026,Back River Waste Water Treatment,MD,39.299722,-76.494167,SUN,0.8
59028,Agawam Solar,MA,42.081944,-72.614444,SUN,1.5
59029,Rehoboth Solar,MA,41.901667,-71.2425,SUN,2.0
59030,Chicopee Solar,MA,42.185556,-72.5825,SUN,3.0
59031,Route 57 Solar,MA,42.058889,-72.664167,SUN,1.5
59032,EBZ Solar,MA,42.570556,-71.625,SUN,2.5
59033,Whately Solar,MA,42.446111,-72.623611,SUN,1.5
59034,Shannon Wind,TX,33.509722,-98.360833,WND,204.0
59037,Hiilangaay Hydro,AK,55.217254,-132.61003,WAT,5.0
59038,Battleground,NC,35.22,-81.33,SUN,3.5
59039,Beulaville,NC,34.9,-77.78,SUN,2.0
59040,Ball Mountain Hydro,VT,43.126944,-72.776111,WAT,0.2
59042,Ellerbe,NC,35.1,-79.73,SUN,2.0
59043,West Davisville Solar,RI,41.603611,-71.477222,SUN,2.0
59044,Rio Rico Solar,AZ,31.5,-111.008056,SUN,6.0
59046,651 Chase Solar NG,MA,42.626667,-71.742778,SUN,2.5
59049,Whitcomb Solar Farm,VT,44.485556,-73.136944,SUN,2.2
59050,Wallace,NC,34.75813,-77.97173,SUN,2.0
59051,Kenansville,NC,34.96,-78.04,SUN,2.0
59052,Fairmont-FLS 100,NC,34.52,-79.13,SUN,4.0
59053,Michelangelo Wind 3 LLC,IA,42.019,-93.514,WND,3.0
59055,Rariton OMP,NJ,40.574444,-74.648056,SUN,1.7
59057,Skillman,NJ,40.574444,-74.648056,SUN,1.1
59058,Vacaville,CA,38.399444,-121.960278,SUN,1.0
59059,Raritan ITS,NJ,40.574444,-74.654167,SUN,2.0
59060,Waste Water Treatment Plant,MA,42.41,-73.24,SUN,1.5
59061,Radfords Run Wind Farm,IL,40.011111,-89.047222,WND,278.0
59063,Stella Wind Farm,TX,26.941667,-97.6425,WND,201.0
59065,Drift Sand Wind Project LLC,OK,34.827778,-97.957222,WND,108.0
59066,Bruennings Breeze Wind Farm,TX,26.522222,-97.691111,WND,228.0
59068,"Colbeck's Corner, LLC",TX,35.254184,-101.186622,WND,200.0
59070,Jericho Power,NH,44.466944,-71.225,WND,14.3
59071,Carroll Area Wind Farm,IA,41.94143,-94.8861,WND,20.7
59075,Brewster Landfill,MA,41.745556,-70.103056,SUN,1.0
59076,Chopin Wind LLC,OR,45.88,-118.463333,WND,10.0
59077,Chatham Landfill,MA,41.686111,-70.006111,SUN,1.5
59078,Harwich Landfill,MA,41.696111,-70.091944,SUN,4.0
59079,Katama Farm,MA,41.361111,-70.516944,SUN,1.0
59080,Nunnepog,MA,41.358889,-70.505,SUN,1.0
59081,Barnstable Landfill,MA,41.659722,-70.395556,SUN,4.0
59082,Dennis Landfill,MA,41.693056,-70.145,SUN,5.0
59083,Limon III Wind LLC,CO,39.353333,-103.474167,WND,200.6
59084,Marshall Wind Farm,KS,39.701111,-96.360833,WND,73.8
59085,Lepomis PV Energy LLC,MA,41.857222,-70.558333,SUN,4.5
59086,"Cottonwood Solar, LLC (Goose Lake)",CA,35.593611,-119.58,SUN,12.0
59087,"Cottonwood Solar, LLC (City of Corcoran)",CA,36.134444,-119.554444,SUN,12.0
59088,Calipatria Solar Farm,CA,33.165833,-115.532222,SUN,20.0
59090,Rockland Solar CSG,MA,42.089167,-70.897778,SUN,2.0
59094,Division 1,CA,34.708333,-118.130556,SUN,1.5
59095,Division 2,CA,34.708333,-118.130556,SUN,1.0
59096,Division 3,CA,34.708333,-118.130556,SUN,1.0
59097,Berry Plastics Solar,NJ,40.698333,-75.151944,SUN,9.8
59098,Kettering Solar 1,CA,34.700278,-118.123611,SUN,1.0
59099,Kettering Solar 2,CA,34.700278,-118.123611,SUN,1.0
59100,Chauncey Farm LLC,NC,34.3375,-78.521944,SUN,4.9
59102,Dragstrip Farm,NC,35.758056,-81.416111,SUN,5.0
59103,Fremont Farm LLC,NC,35.531944,-77.969167,SUN,5.0
59105,Market Farm,NC,36.390278,-79.647222,SUN,4.9
59106,Snow Hill Solar 2 LLC,NC,35.444167,-77.649444,SUN,2.0
59107,Mount Olive Farm,NC,35.201944,-78.081667,SUN,5.0
59109,Spicewood Solar Farm LLC,NC,35.3025,-79.701667,SUN,5.0
59110,Springfield Solar 1 LLC,MO,37.246389,-93.166389,SUN,4.9
59111,West Salisbury Farm LLC,NC,35.668333,-80.523611,SUN,5.0
59112,West Siler,NC,35.720841,-79.503747,SUN,5.0
59113,Yanceyville Farm 2 LLC,NC,36.413889,-79.316944,SUN,5.0
59114,Redmon Solar Farm LLC,NC,35.710833,-80.665833,SUN,2.0
59115,Anderson Farm LLC,NC,34.975556,-78.516667,SUN,1.9
59117,DD Fayetteville Solar NC LLC,NC,34.834444,-78.843611,SUN,23.1
59118,Cameron Wind 1 LLC,TX,26.195278,-97.466111,WND,165.0
59119,Warsaw I,NC,35.01,-78.11,SUN,2.0
59120,Warsaw II,NC,35.01,-78.05,SUN,2.0
59121,Acushnet-Braley Road 1,MA,41.751667,-70.970556,SUN,1.9
59122,Enerparc CA1 LLC,CA,36.831667,-121.404167,SUN,1.5
59123,Moncure Farm LLC,NC,35.568333,-79.0325,SUN,3.0
59124,Martin Creek Farm LLC,NC,36.286389,-78.386111,SUN,3.0
59125,Kinston,NC,35.370556,-77.608333,SUN,2.0
59126,Daniel Farm LLC,NC,35.848889,-80.553611,SUN,5.0
59127,Bailey Farm LLC,NC,35.7875,-78.139722,SUN,5.0
59128,Acushnet- High Hill,MA,41.714444,-70.997222,SUN,2.8
59129,CSD 2- Freedom High,CA,37.969722,-121.719444,SUN,0.9
59130,CSD 2 - Heritage High,CA,37.921944,-121.755556,SUN,1.3
59131,Dartmouth Landfill,MA,41.581111,-70.998056,SUN,1.1
59132,EAFB - North Base,CA,34.9325,-117.907222,SUN,1.0
59133,EAFB - South Base,CA,34.917222,-117.900278,SUN,1.0
59134,Easton Landfill,MA,42.010278,-71.092222,SUN,1.6
59135,Ludlow Landfill,MA,42.182222,-72.5075,SUN,2.3
59136,Methuen Landfill,MA,42.744722,-71.175,SUN,1.1
59137,Plymouth Site 1,MA,41.96,-70.778611,SUN,4.0
59138,SDCCD - Miramar,CA,32.906111,-117.121389,SUN,1.0
59139,SDCWA - Twin Oaks,CA,33.21,-117.170556,SUN,1.0
59140,EDF Lancaster,MA,42.529167,-71.665278,SUN,4.5
59144,Brighton PV Solar Plant,CO,39.9825,-104.940833,SUN,1.8
59146,XPF Solar Field,NC,35.911667,-78.873333,SUN,3.0
59147,Fair Wind,MD,39.404564,-79.291143,WND,30.0
59148,Green Farm,NC,35.831667,-77.269722,SUN,5.0
59149,Simons Farm,NC,36.306389,-76.997222,SUN,5.0
59150,RE Mustang LLC,CA,36.221667,-119.903056,SUN,100.0
59152,Thornton PV1,NC,35.395833,-77.661667,SUN,5.0
59153,Watson Seed Farm PV1,NC,36.129722,-77.721389,SUN,20.0
59154,Bradley PV1,NC,36.260556,-77.076389,SUN,5.0
59155,Shawboro PV1,NC,36.433333,-76.087222,SUN,20.0
59156,Carter PV1,NC,35.021111,-78.7875,SUN,5.0
59157,Pecan PV1,NC,34.909167,-79.829444,SUN,5.0
59158,Langley PV1,NC,35.801944,-77.848889,SUN,5.0
59162,Mariposa Solar Center LLC,NC,35.373889,-81.086944,SUN,5.0
59163,Highland Solar Center LLC,NC,35.363889,-77.451944,SUN,5.0
59164,Elm City Solar Facility,NC,35.781111,-77.846944,SUN,40.0
59166,Bridgeport Disposal Solar Farm,NJ,39.7875,-75.350833,SUN,1.2
59167,Lancaster Solar 1,CA,34.715,-118.095,SUN,1.5
59168,Avalon Solar,AZ,32.001389,-110.960556,SUN,29.0
59169,Lancaster Solar 2,CA,34.710556,-118.166111,SUN,1.5
59170,Jakana Solar,NC,35.875278,-77.081111,SUN,5.0
59171,Windsor Solar,NC,36.016944,-76.883056,SUN,5.0
59172,Belmont,IN,39.72,-86.193056,SUN,3.8
59173,Bethel Solar,NC,35.794328,-77.384542,SUN,5.0
59174,Lewiston Solar,NC,36.141111,-77.211111,SUN,5.0
59175,Woodland Solar,NC,36.341944,-77.221111,SUN,5.0
59176,Williamston Solar,NC,35.801111,-77.063056,SUN,5.0
59177,Winton Solar,NC,36.375,-76.938889,SUN,5.0
59178,Franklin 1,MA,42.040556,-71.393611,SUN,3.0
59179,Franklin 2,MA,42.054167,-71.391667,SUN,4.0
59180,Marion Solar LNG,IN,39.913056,-86.238056,SUN,1.5
59182,Hesperia,CA,34.435,-117.378056,SUN,1.5
59183,"CID Solar, LLC",CA,36.138056,-119.564722,SUN,20.0
59184,Mulberry Farm LLC,TN,35.131944,-88.586667,SUN,15.8
59185,Jacobstown,NJ,40.063743,-74.582429,SUN,5.0
59186,West Pemberton,NJ,40.006667,-74.730278,SUN,7.0
